"doc.id","title","citeulike.id","raw.title","raw.abstract"
287,"detecting putative orthologs",128931,"{Detecting putative orthologs}","Summary: We developed an algorithm that improves upon the common procedure of taking reciprocal best blast hits (rbh) in the identification of orthologs. The method--reciprocal smallest distance algorithm (rsd)--relies on global sequence alignment and maximum likelihood estimation of evolutionary distances to detect orthologs between two genomes. rsd finds many putative orthologs missed by rbh because it is less likely than rbh to be misled by the presence of a close paralog.  Availability: A Python program and ReadMe file are freely available from: http://charles.stanford.edu/~dennis/research.html 10.1093/bioinformatics/btg213"
288,"global analysis of protein activities using proteome chips",128968,"{Global analysis of protein activities using proteome chips}","To facilitate studies of the yeast proteome, we cloned 5800 open reading frames and overexpressed and purified their corresponding proteins. The proteins were printed onto slides at high spatial density to form a yeast proteome microarray and screened for their ability to interact with proteins and phospholipids. We identified many new calmodulin- and phospholipid-interacting proteins; a common potential binding motif was identified for many of the calmodulin-binding proteins. Thus, microarrays of an entire eukaryotic proteome can be prepared and screened for diverse biochemical activities. The microarrays can also be used to screen protein-drug interactions and to detect posttranslational modifications."
289,"natural gradient works efficiently in learning",129007,"Natural Gradient Works Efficiently in Learning","When a parameter space has a certain underlying structure, the ordinary gradient of a function does not represent its steepest direction, but the natural gradient does. Information geometry is used for calculating the natural gradients in the parameter space of perceptrons, the space of matrices (for blind source separation), and the space of linear dynamical systems (for blind source deconvolution). The dynamical behavior of natural gradient online learning is analyzed and is proved to be Fisher efficient, implying that it has asymptotically the same performance as the optimal batch estimation of parameters. This suggests that the plateau phenomenon, which appears in the backpropagation learning algorithm of multilayer perceptrons, might disappear or might not be so serious when the natural gradient is used. An adaptive method of updating the learning rate is proposed and analyzed."
290,"improving support vector machine classifiers by modifying kernel functions",129008,"Improving support vector machine classifiers by modifying kernel functions","We propose a method of modifying a kernel function to improve the performance of a support  vector machine classifier. This is based on the Riemannian geometrical structure induced by the  kernel function. The idea is to enlarge the spatial resolution around the separating boundary  surface by a conformal mapping such that the separability between classes is increased. Examples  are given specifically for modifying Gaussian Radial Basis Function kernels. Simulation results for  both artificial and real data show remarkable improvement of generalization errors, supporting our  idea.  1 Introduction  Support Vector Machine (SVM) is a new promising pattern classification technique proposed recently by Vapnik and co-workers (Boser et al., 1992, Cortes and Vapnik, 1995, and Vapnik, 1995). Unlike traditional methods which minimize the empirical training error, SVM aims at minimizing an upper bound of the generalization error through maximizing the margin between the separating hyperplane and..."
291,"detecting protein function and proteinprotein interactions from genome sequences",129019,"Detecting Protein Function and Protein-Protein Interactions from Genome Sequences","A computational method is proposed for inferring protein interactions from genome sequences on the basis of the observation that some pairs of interacting proteins have homologs in another organism fused into a single protein chain. {S}earching sequences from many genomes revealed 6809 such putative protein-protein interactions in {E}scherichia coli and 45,502 in yeast. {M}any members of these pairs were confirmed as functionally related; computational filtering further enriches for interactions. {S}ome proteins have links to several other proteins; these coupled links appear to represent functional interactions such as complexes or pathways. {E}xperimentally confirmed interacting pairs are documented in a {D}atabase of {I}nteracting {P}roteins."
292,"the spectrum kernel a string kernel for svm protein classification",129026,"The spectrum kernel: a string kernel for SVM protein classification","We introduce a new sequence-similarity kernel, the spectrum kernel, for use with support vector machines (SVMs) in a discriminative approach to the protein classification problem. Our kernel is conceptually simple and efficient to compute and, in experiments on the SCOP database, performs well in comparison with state-of-the-art methods for homology detection. Moreover, our method produces an SVM classifier that allows linear time classification of test sequences. Our experiments provide evidence that string-based kernels, in conjunction with SVMs, could offer a viable and computationally efficient alternative to other methods of protein classification and homology detection."
293,"support vector machine classification and validation of cancer tissue samples using microarray expression data",129029,"Support Vector Machine Classification and Validation of Cancer Tissue Samples Using Microarray Expression Data","Motivation: DNA microarray experiments generating thousands of gene expression measurements, are being used to gather information from tissue and cell samples regarding gene expression differences that will be useful in diagnosing disease. We have developed a new method to analyse this kind of data using support vector machines (SVMs). This analysis consists of both classification of the tissue samples, and an exploration of the data for mis-labeled or questionable tissue results.  Results: We demonstrate the method in detail on samples consisting of ovarian cancer tissues, normal ovarian tissues, and other normal tissues. The dataset consists of expression experiment   results for 97802 cDNAs for each tissue. As a result of computational analysis, a tissue sample is discovered and confirmed to be wrongly labeled. Upon correction of this mistake and the removal of an outlier, perfect classification of tissues is achieved, but not with high confidence. We identify and analyse a subset of genes from the ovarian dataset whose expression is highly   differentiated between the types of tissues. To show robustness of the SVM method, two previously published datasets from other types of tissues or cells are analysed. The results are comparable to those previously obtained. We show that other machine learning methods also perform comparably to the SVM on many of those datasets.  Availability: The SVM software is available at http://www.cs.columbia.edu/~bgrundy/svm.  Contact: booch@cse.ucsc.edu 10.1093/bioinformatics/16.10.906"
294,"support vector clustering",129038,"Support Vector Clustering","We present a novel clustering method using the approach of support vector machines. Data points are mapped by means of a Gaussian kernel to a high dimensional feature space, where we search for the minimal enclosing sphere. This sphere, when mapped back to data space, can separate into several components, each enclosing a separate cluster of points. We present a simple algorithm for identifying these clusters. The width of the Gaussian kernel controls the scale at which the data is probed while the soft margin constant helps coping with outliers and overlapping clusters. The structure of a dataset is explored by varying the two parameters, maintaining a minimal number of support vectors to assure smooth cluster boundaries. We demonstrate the performance of our algorithm on several datasets."
295,"text classification using string kernels",129039,"Text Classification using String Kernels","We propose a novel approach for categorizing text documents based on the use of a special kernel. The kernel is an inner product in the feature space generated by all subsequences of length &lt;em&gt;k&lt;/em&gt;. A subsequence is any ordered sequence of &lt;em&gt;k&lt;/em&gt; characters occurring in the text though not necessarily contiguously. The subsequences are weighted by an exponentially decaying factor of their full length in the text, hence emphasising those occurrences that are close to contiguous. A direct computation of this feature vector would involve a prohibitive amount of computation even for modest values of &lt;em&gt;k&lt;/em&gt;, since the dimension of the feature space grows exponentially with &lt;em&gt;k&lt;/em&gt;. The paper describes how despite this fact the inner product can be efficiently evaluated by a dynamic programming technique. Experimental comparisons of the performance of the kernel compared with a standard word feature space kernel (Joachims, 1998) show positive results on modestly sized datasets. The case of contiguous subsequences is also considered for comparison with the subsequences kernel with different decay factors. For larger documents and datasets the paper introduces an approximation technique that is shown to deliver good approximations efficiently for large datasets."
296,"deterministic scalefree networks",129085,"Deterministic scale-free networks","Scale-free networks are abundant in nature and society, describing such diverse systems as the world wide web, the web of human sexual contacts, or the chemical network of a cell. All models used to generate a scale-free topology are stochastic, that is they create networks in which the nodes appear to be randomly connected to each other. Here we propose a simple model that generates scale-free networks in a deterministic fashion. We solve exactly the model, showing that the tail of the degree distribution follows a power law."
297,"spline models for observational data",129100,"Spline Models for Observational Data"," For the last two decades the author has been associated with pioneer work in the area of nonparametric regression and spline smoothing. In the monograph under review this vast amount of information is made available in a consolidated form along with a brief survey of the work of other researchers. The general smoothing problem is presented using reproducing kernel (r.k.) Hilbert spaces. The solution of variational problems arising in univariate and multivariate smoothing, partial spline models, additive and interaction spline models is characterized in terms of a relevant r.k. The r.k. as a covariance kernel provides the link between spline estimates and Bayes estimates. The convergence rates of various estimates are obtained in terms of the rate of decay of the eigenvalues of the r.k. and the Fourier-Bessel coefficients of the function being estimated with respect to the eigenfunction. From a practical point of view the choice of a good basis and smoothing parameter is crucial. For the latter problem data-dependent techniques such as cross-validation and general cross-validation are discussed in detail through illustrative examples. Numerical methods for computing the estimates and the available packages are also indicated. The solution of integral equations of the first kind and partial spline models in nonlinear regression are briefly considered. <P> The reviewer considers the monograph a valuable contribution and recommends it strongly to everyone with some interest in this important area of statistics."
298,"principal component analysis",129118,"Principal component analysis","Principal component analysis is central to the study of multivariate data. Although one of the earliest multivariate techniques it continues to be the subject of much research, ranging from new model- based approaches to algorithmic ideas from neural networks. It is extremely versatile with applications in many disciplines. The first edition of this book was the first comprehensive text written solely on principal component analysis. The second edition updates and substantially expands the original version, and is once again the definitive text on the subject. It includes core material, current research and a wide range of applications. Its length is nearly double that of the first edition. Researchers in statistics, or in other fields that use principal component analysis, will find that the book gives an authoritative yet accessible account of the subject. It is also a valuable resource for graduate courses in multivariate analysis. The book requires some knowledge of matrix algebra. Ian Jolliffe is Professor of Statistics at the University of Aberdeen. He is author or co-author of over 60 research papers and three other books. His research interests are broad, but aspects of principal component analysis have fascinated him and kept him busy for over 30 years."
299,"molecular cloning a laboratory manual",129240,"Molecular Cloning: A Laboratory Manual","The first two editions of this manual have been mainstays of molecular biology for nearly twenty years, with an unrivalled reputation for reliability, accuracy, and clarity. <P>In this new edition, authors Joe Sambrook and David Russell have completely updated the book, revising every protocol and adding a mass of new material, to broaden its scope and maintain its unbeatable value for studies in genetics, molecular cell biology, developmental biology, microbiology, neuroscience, and immunology. <P>Handsomely redesigned and presented in new bindings of proven durability, this three-volume work is essential for everyone using today&#146;s biomolecular techniques. <P>The opening chapters describe essential techniques, some well-established, some new, that are used every day in the best laboratories for isolating, analyzing and cloning DNA molecules, both large and small. <P>These are followed by chapters on cDNA cloning and exon trapping, amplification of DNA, generation and use of nucleic acid probes, mutagenesis, and DNA sequencing. <P>The concluding chapters deal with methods to screen expression libraries, express cloned genes in both prokaryotes and eukaryotic cells, analyze transcripts and proteins, and detect protein-protein interactions. <P>The Appendix is a compendium of reagents, vectors, media, technical suppliers, kits, electronic resources and other essential information. <P>As in earlier editions, this is the only manual that explains how to achieve success in cloning and provides a wealth of information about why techniques work, how they were first developed, and how they have evolved."
300,"exploration of essential gene functions via titratable promoter alleles",129291,"Exploration of essential gene functions via titratable promoter alleles","Nearly 20% of yeast genes are required for viability, hindering genetic analysis with knockouts. We created promoter-shutoff strains for over two-thirds of all essential yeast genes and subjected them to morphological analysis, size profiling, drug sensitivity screening, and microarray expression profiling. We then used this compendium of data to ask which phenotypic features characterized different functional classes and used these to infer potential functions for uncharacterized genes. We identified genes involved in ribosome biogenesis (HAS1, URB1, and URB2), protein secretion (SEC39), mitochondrial import (MIM1), and tRNA charging (GSN1). In addition, apparent negative feedback transcriptional regulation of both ribosome biogenesis and the proteasome was observed. We furthermore show that these strains are compatible with automated genetic analysis. This study underscores the importance of analyzing mutant phenotypes and provides a resource to complement the yeast knockout collection."
301,"complex acts of knowing paradox and descriptive selfawareness",129335,"Complex Acts of Knowing: Paradox and Descriptive Self-awareness","We are reaching the end of the second generation of knowledge management, with its focus on tacit-explicit knowledge conversion. Triggered by the SECI model of Nonaka, it replaced a first generation focus on timely information provision for decision support and in support of BPR initiatives. Like BPR it has substantially failed to deliver on its promised benefits. The third generation requires the clear separation of context, narrative and content management and challenges the orthodoxy of scientific management. Complex adaptive systems theory is used to create a sense-making model that utilises self-organising capabilities of the informal communities and identifies a natural flow model of knowledge creation, disruption and utilisation. However, the argument from nature of many complexity thinkers is rejected given the human capability to create order and predictability through collective and individual acts of freewill. disillusionment was creeping in, organisations Knowledge is seen paradoxically, as both a thing and a flow requiring diverse management approaches."
302,"managing gigabytes compressing and indexing documents and images",129356,"Managing Gigabytes: Compressing and Indexing Documents and Images","{Of all the tasks programmers are asked to perform, storing, compressing, and retrieving information are some of the most challenging--and critical to many applications. <I>Managing Gigabytes: Compressing and Indexing Documents and Images</I> is a treasure trove of theory, practical illustration, and general discussion in this fascinating technical subject.<p> Ian Witten, Alistair Moffat, and Timothy Bell have updated their original work with this even more impressive second edition. This version adds recent techniques such as block-sorting, new indexing techniques, new lossless compression strategies, and many other elements to the mix. In short, this work is a comprehensive summary of text and image compression, indexing, and querying techniques. The history of relevant algorithm development is woven well with a practical discussion of challenges, pitfalls, and specific solutions.<p> This title is a textbook-style exposition on the topic, with its information organized very clearly into topics such as compression, indexing, and so forth. In addition to diagrams and example text transformations, the authors use ""pseudo-code"" to present algorithms in a language-independent manner wherever possible. They also supplement the reading with <I>mg</I>--their own implementation of the techniques. The mg C language source code is freely available on the Web. <p> Alone, this book is an impressive collection of information. Nevertheless, the authors list numerous titles for further reading in selected topics. Whether you're in the midst of application development and need solutions fast or are merely curious about how top-notch information management is done, this hardcover is an excellent investment. <I>--Stephen W. Plain</I><p> <B>Topics covered</B>: Text compression models, including Huffman, LZW, and their variants; trends in information management; index creation and compression; image compression; performance issues; and overall system implementation.} {<p>In this fully updated second edition of the highly acclaimed <b>Managing Gigabytes</b>, authors Witten, Moffat, and Bell continue to provide unparalleled coverage of state-of-the-art techniques for compressing and indexing data. Whatever your field, if you work with large quantities of information, this book is essential reading--an authoritative theoretical resource and a practical guide to meeting the toughest storage and access challenges. It covers the latest developments in compression and indexing and their application on the Web and in digital libraries. It also details dozens of powerful techniques supported by mg, the authors' own system for compressing, storing, and retrieving text, images, and textual images. mg's source code is freely available on the Web.<br><br>* Up-to-date coverage of new text compression algorithms such as block sorting, approximate arithmetic coding, and fat Huffman coding<br>* New sections on content-based index compression and distributed querying, with 2 new data structures for fast indexing<br>* New coverage of image coding, including descriptions of de facto standards in use on the Web (GIF and PNG), information on CALIC, the new proposed JPEG Lossless standard, and JBIG2<br>* New information on the Internet and WWW, digital libraries, web search engines, and agent-based retrieval<br>* Accompanied by a public domain system called MG which is a fully worked-out operational example of the advanced techniques developed and explained in the book<br>* New appendix on an existing digital library system that uses the MG software}"
303,"conduction of heat in solids",129936,"Conduction of Heat in Solids","Based on earlier "" Introduction to Mathematical Theory of Conduction of Heat in Solids,"" volume gives general theory together with its application to linear flow of heat and to flow of heat in rod, rectangular parallelepiped, circular cylinder, sphere and cone; Laplace transformation method of dealing with problems in conduction of heat is used instead of older method of contour integrals. Eng Soc Lib, NY. ($8.00)"
304,"computer simulation of liquids",130030,"Computer Simulation of Liquids","{Computer simulation is an essential tool in studying the chemistry and physics of liquids.  Simulations allow us to develop models and to test them against experimental data. They can be used to evaluate approximate theories of liquids, and to provide detailed information on the structure and dynamics of model liquids at the molecular level. This book is an introduction and practical guide to the molecular dynamics and Monte Carlo methods.    The first four chapters describe these methods in detail, and provide the essential background in intermolecular forces and statistical mechanics.  Chapters 5 and 6 emphasize the practical aspects of writing efficient programs and analysing the simulation results.  The remaining chapters cover advanced techniques, non-equilibrium methods, Brownian dynamics, quantum simulations, and some important applications.  FORTRAN code is presented in the text.}"
305,"on the detection of semantic concepts at trecvid",130273,"On the detection of semantic concepts at TRECVID","Semantic multimedia management is necessary for the effective and widespread utilization of multimedia repositories and realizing the potential that lies untapped in the rich multimodal information content. This challenge has driven researchers to devise new algorithms and systems that enable automatic or semi-automatic tagging of large scale multimedia content with rich semantics. An emerging research area is the detection of a predetermined set of semantic concepts that can act as semantic filters and aid in search, and manipulation. The NIST {TRECVid} benchmark has responded by creating a task that has evaluated the performance of concept detection. Within the scope of this benchmark task, this paper studies trends in the emerging concept detection systems, architectures and algorithms. It also analyzes strategies that have yielded reasonable success, and challenges and gaps that lie ahead."
306,"graphbased algorithms for boolean function manipulation",130315,"Graph-Based Algorithms for Boolean Function Manipulation","In this paper we present a new data structure for representing Boolean functions and an associated set of manipulation algorithms. Functions are represented by directed, acyclic graphs in a manner similar to the representations introduced by Lee [1] and Akers [2], but with further restrictions on the ordering of decision variables in the graph. Although a function requires, in the worst case, a graph of size exponential in the number of arguments, many of the functions encountered in typical applications have a more reasonable representation. Our algorithms have time complexity proportional to the sizes of the graphs being operated on, and hence are quite efficient as long as the graphs do not grow too large. We present experimental results from applying these algorithms to problems in logic design verification that demonstrate the practicality of our approach."
307,"engineered riboregulators enable posttranscriptional control of gene expression",130783,"Engineered riboregulators enable post-transcriptional control of gene expression.","Recent studies have demonstrated the important enzymatic, structural and regulatory roles of RNA in the cell. Here we present a post-transcriptional regulation system in Escherichia coli that uses RNA to both silence and activate gene expression. We inserted a complementary cis sequence directly upstream of the ribosome binding site in a target gene. Upon transcription, this cis-repressive sequence causes a stem-loop structure to form at the 5'-untranslated region of the mRNA. The stem-loop structure interferes with ribosome binding, silencing gene expression. A small noncoding RNA that is expressed in trans targets the cis-repressed RNA with high specificity, causing an alteration in the stem-loop structure that activates expression. Such engineered riboregulators may lend insight into mechanistic actions of endogenous RNA-based processes and could serve as scalable components of biological networks, able to function with any promoter or gene to directly control gene expression."
308,"understanding faulttolerant distributed systems",131324,"Understanding fault-tolerant distributed systems","We propose a small number of basic concepts that can be used to explain the architecture of fault-tolerant distributed systems and we discuss a list of architectural issues that we find useful to consider when designing or examining such systems. For each issue we present known solutions and design alternatives, we discuss their relative merits and we give examples of systems which adopt one approach or the other. The aim is to introduce some order in the complex discipline of designing and..."
309,"mathematical models in biology",131662,"Mathematical Models in Biology","Mathematical Models in Biology is an introductory book for readers interested in biological applications of mathematics and modeling in biology. A favorite in the mathematical biology community since its first publication in 1988, the book shows how relatively simple mathematics can be applied to a variety of models to draw interesting conclusions. Connections are made between diverse biological examples linked by common mathematical themes. A variety of discrete and continuous ordinary and partial differential equation models are explored. Although great advances have taken place in many of the topics covered, the simple lessons contained in Mathematical Models in Biology are still important and informative. <P>Shortly after the first publication of Mathematical Models in Biology, the genomics revolution turned Mathematical Biology into a prominent area of interdisciplinary research. In this new millennium, biologists have discovered that mathematics is not only useful, but indispensable! As a result, there has been much resurgent interest in, and a huge expansion of, the fields collectively called mathematical biology. This book serves as a basic introduction to concepts in deterministic biological modeling. <P>Mathematical Models in Biology does not assume too much background knowledgeessentially some calculus and high-school algebra. It was originally written with third- and fourth-year undergraduate mathematical-biology majors in mind; however, it was picked up by beginning graduate students as well as a number of researchers in math (and some in biology) who wanted to learn about this field."
310,"can programming be liberated from the von neumann style a functional style and its algebra of programs",132329,"Can programming be liberated from the von {N}eumann style? {A} functional style and its algebra of programs","Conventional programming languages are growing ever more enormous, but not stronger. Inherent defects at the most basic level cause them to be both fat and weak: their primitive word-at-a-time style of programming inherited from their common ancestor&mdash;the von Neumann computer, their close coupling of semantics to state transitions, their division of programming into a world of expressions and a world of statements, their inability to effectively use powerful combining forms for building new programs from existing ones, and their lack of useful mathematical properties for reasoning about programs.   An alternative functional style of programming is founded on the use of combining forms for creating programs. Functional programs deal with structured data, are often nonrepetitive and nonrecursive, are hierarchically constructed, do not name their arguments, and do not require the complex machinery of procedure declarations to become generally applicable. Combining forms can use high level programs to build still higher level ones in a style not possible in conventional languages.   Associated with the functional style of programming is an algebra of programs whose variables range over programs and whose operations are combining forms. This algebra can be used to transform programs and to solve equations whose &ldquo;unknowns&rdquo; are programs in much the same way one transforms equations in high school algebra. These transformations are given by algebraic laws and are carried out in the same language in which programs are written. Combining forms are chosen not only for their programming power but also for the power of their associated algebraic laws. General theorems of the algebra give the detailed behavior and termination conditions for large classes of programs.   A new class of computing systems uses the functional programming style both in its programming language and in its state transition rules. Unlike von Neumann languages, these systems have semantics loosely coupled to states&mdash;only one state transition occurs per major computation."
311,"functional analysis",132420,"Functional Analysis","{This classic text is written for graduate courses in functional analysis. This text is used in modern investigations in analysis and applied mathematics. This new edition includes up-to-date presentations of topics as well as more examples and exercises. New topics include Kakutani's fixed point theorem, Lamonosov's invariant subspace theorem, and an ergodic theorem. <p> This text is part of the Walter Rudin Student Series in Advanced Mathematics.}"
312,"connectionist models and their properties",132451,"Connectionist Models and Their Properties","Much of the progress in the fields constituting cognitive science has been based upon the use of explicit information processing models, almost exclusively patterned after conventional serial computers. An extension of these ideas to massively parallel, connectionist models appears to offer a number of advantages. After a preliminary discussion, this paper introduces a general connectionist model and considers how it might be used in cognitive science. Among the issues addressed are: stability and noise-sensitivity, distributed decision-making, time and sequence problems, and the representation of complex concepts."
313,"a logical calculus of the ideas immanent in nervous activity",132637,"A logical calculus of the ideas immanent in nervous activity","Abstract&nbsp;&nbsp;Because of the �? all-or-noneâ? character of nervous activity, neural events and the relations among them can be treated by means of propositional logic. It is found that the behavior of every net can be described in these terms, with the addition of more complicated logical means for nets containing circles; and that for any logical expression satisfying certain conditions, one can find a net behaving in the fashion it describes. It is shown that many particular choices among possible neurophysiological assumptions are equivalent, in the sense that for every net behaving under one assumption, there exists another net which behaves under the other and gives the same results, although perhaps not in the same time. Various applications of the calculus are discussed."
314,"explicit substitutions",133546,"Explicit Substitutions","The oe-calculus is a refinement of the -calculus where substitutions are manipulated explicitly. The oe-calculus provides a setting for studying the theory of substitutions, with pleasant mathematical properties. It is also a useful bridge between the classical -calculus  and concrete implementations.   Digital Equipment Corporation, Systems Research Center.  y  Ecole Normale Sup'erieure; part of this work was completed while at Digital Equipment Corporation, Systems Research Center.  z  INRIA..."
315,"link prediction in relational data",134227,"Link prediction in relational data","Many real-world domains are relational in nature, consisting of a set of objects  related to each other in complex ways. This paper focuses on predicting the  existence and the type of links between entities in such domains. We apply the  relational Markov network framework of Taskar et al. to define a joint probabilistic  model over the entire link graph --- entity attributes and links. The application  of the RMN algorithm to this task requires the definition of probabilistic patterns  over subgraph structures. We apply this method to two new relational datasets,  one involving university webpages, and the other a social network. We show that  the collective classification approach of RMNs, and the introduction of subgraph  patterns over link labels, provide significant improvements in accuracy over flat  classification, which attempts to predict each link in isolation."
316,"learning in graphical models",134378,"Learning in Graphical Models","Statistical applications in fields such as bioinformatics, information retrieval, speech processing, image processing and communications often involve large-scale models in which thousands or millions of random variables are linked in complex ways. Graphical models provide a general methodology for approaching these problems, and indeed many of the models developed by researchers in these applied fields are instances of the general graphical model formalism. We review some of the basic ideas underlying graphical models, including the algorithmic ideas that allow graphical models to be deployed in large-scale data analysis problems. We also present examples of graphical models in bioinformatics, error-control coding and language processing. Key words and phrases: Probabilistic graphical models, junction tree algorithm, sum-product algorithm, Markov chain Monte Carlo, variational inference, bioinformatics, error-control coding."
317,"expectation propagation for approximate bayesian inference",134382,"Expectation Propagation for approximate {B}ayesian inference","One of the major obstacles to using Bayesian methods for pattern recognition has been its computational expense. This thesis presents an approximation technique that can perform Bayesian inference faster and more accurately than previously possible. This method and ``Expectation Propagation and '' unifies and generalizes two previous techniques: assumed-density filtering and an extension of the Kalman filter and and loopy belief propagation and an extension of belief propagation in Bayesian networks. The unification shows how both of these algorithms can be viewed as approximating the true posterior distribution with a simpler distribution and which is close in the sense of KL-divergence. Expectation Propagation exploits the best of both algorithms: the generality of assumed-density filtering and the accuracy of loopy belief propagation. Loopy belief propagation and because it propagates exact belief states and is useful for limited types of belief networks and such as purely discrete networks. Expectation Propagation approximates the belief states with expectations and such as means and variances and giving it much wider scope. Expectation Propagation also extends belief propagation in the opposite direction---propagating richer belief states which incorporate correlations between variables. This framework is demonstrated in a variety of statistical models using synthetic and real-world data. On Gaussian mixture problems and Expectation Propagation is found and for the same amount of computation and to be convincingly better than rival approximation techniques: Monte Carlo and Laplace's method and and variational Bayes. For pattern recognition and Expectation Propagation provides an algorithm for training Bayes Point Machine classifiers that is faster and more accurate than any previously known. The resulting classifiers outperform Support Vector Machines on several standard datasets and in addition to having a comparable training time. Expectation Propagation can also be used to choose an appropriate feature set for classification and via Bayesian model selection."
318,"a phylogenomic approach to bacterial phylogeny evidence of a core of genes sharing a common history",134409,"A phylogenomic approach to bacterial phylogeny: evidence of a core of genes sharing a common history.","It has been claimed that complete genome sequences would clarify phylogenetic relationships between organisms, but up to now, no satisfying approach has been proposed to use efficiently these data. For instance, if the coding of presence or absence of genes in complete genomes gives interesting results, it does not take into account the phylogenetic information contained in sequences and ignores hidden paralogies by using a BLAST reciprocal best hit definition of orthology. In addition, concatenation of sequences of different genes as well as building of consensus trees only consider the few genes that are shared among all organisms. Here we present an attempt to use a supertree method to build the phylogenetic tree of 45 organisms, with special focus on bacterial phylogeny. This led us to perform a phylogenetic study of congruence of tree topologies, which allows the identification of a core of genes supporting similar species phylogeny. We then used this core of genes to infer a tree. This phylogeny presents several differences with the rRNA phylogeny, notably for the position of hyperthermophilic bacteria."
319,"webdava an administratorfree approach to web filesharing",134506,"WebDAVA: An administrator-free approach to Web file-sharing","Collaboration over the Internet depends on the ability of the members of a group to exchange data in a secure yet unobtrusive manner. WebDAVA is a system that allows the users to define their own access-control policies to network resources that they control, enabling secure data sharing within the enterprise. Our design allows users to selectively give fine-grain access to their resources without involving their system administrators. We accomplish this by using authorization credentials that define the users' privileges. Our prototype implements a file-sharing service, where users maintain sensitive-information folders and can allow others to access parts of these. Clients interact with the server over HTTP via a Java applet that transparently handles credential management. This mechanism allows users to share information with users not a priori known to the system, enabling administrator-free management."
320,"managing in an age of modularity",135035,"Managing in an Age of Modularity","Modularity is a familiar principle in the computer industry. Different companies can independently design and produce components, suck as disk drives or operating software, and those modules will fit together into a complex and smoothly functioning product because the module makers obey a given set of design rules. Modularity in manufacturing is already common in many companies. But now a number of them are beginning to extend the approach into the design of their products and services. Modularity in design should tremendously boost the rate of innovation in many industries as it did in the computer industry. As businesses as diverse as auto manufacturing and financial services move toward modular designs, the authors say, competitive dynamics will change enormously. No longer will assemblers control the final product: suppliers of key modules will gain leverage and even take on responsibility for design rules. Companies will compete either by specifying the dominant design rules (as Microsoft does) or by producing excellent modules (as disk drive maker Quantum does). Leaders in a modular industry will control less, so they will have to watch the competitive environment closely for opportunities to link up with other module makers. They will also need to know more: engineering details that seemed trivial at the corporate level may now play a large part in strategic decisions. Leaders will also become knowledge managers internally because they will need to coordinate the efforts of development groups in order to keep them focused on the modular strategies the company is pursuing."
321,"engineering design a systematic approach",135987,"Engineering design : a systematic approach.","{<P>Effective engineering design must be carefully planned and systematically executed. In particular, engineering design methods must integrate the many different aspects of designing and the priorities of the end-user.</P> <P>This proven and internationally recognized text teaches the methods and ideas of engineering design as a condition of successful product development. It breaks down the design process into phases and then into distinct steps, each with its own working methods. Having established itself, in earlier editions, as a key text, <EM>Engineering Design</EM> (3<SUP>rd</SUP> edition) is enhanced with more input from practising engineers, providing more examples of product development; it also tightens the scientific bases of its design ideas with new solution fields in composite components, building methods, mechatronics and adaptronics and pays attention to the economic aspects of design and development including quality assurance. The third edition also integrates electronic design process technology into its methods.</P> <P><EM>Engineering Design</EM> (3<SUP>rd</SUP> edition) is translated and edited by Ken Wallace, Chairman of the Engineering Design Centre at the University of Cambridge and Luciënne Blessing, Professor of Engineering Design at the Technical University of Berlin. It is translated from the sixth German edition.</P> <P>Topics covered include:</P> <UL> <LI>psychology of design; </LI> <LI>product planning and development; </LI> <LI>the design process including design for recycling; </LI> <LI>conceptual design; </LI> <LI>embodiment design; </LI> <LI>size ranges and modular products; </LI> <LI>design for quality and minimum cost.<U> </U></LI></UL> <P>Written to provide students and tutors of engineering design with all the fundamental information they require in a crucial subject, <EM>Engineering Design</EM> (3<SUP>rd</SUP> edition) will also be of immense value as a reference to anyone working in the area.</P>}"
322,"the artificial life roots of artificial intelligence",136219,"The Artificial Life Roots of Artificial Intelligence","Behavior-oriented AI is a scientific discipline that studies how behavior  of agents emerges and becomes intelligent and adaptive. Success of the field  is defined in terms of success in building physical agents that are capable  of maximising their own self-preservation in interaction with a dynamically  changing environment. The paper addresses this artificial life route towards  artificial intelligence and reviews some of the results obtained so far.  1  Official reference: Steels, L. (1994) ..."
323,"distributed operating systems",136259,"Distributed Operating Systems","Distributed operating systems have many aspects in common with centralized ones, but they also differ in certain ways. This paper is intended as an introduction to distributed operating systems, and especially to current university research about them. After a discussion of what constitutes a distributed operating system and how it is distinguished from a computer network, various key design issues are discussed. Then several examples of current research projects are examined in some detail, namely, the Cambridge Distributed Computing System, Amoeba, V, and Eden."
324,"robust and optimal control",136459,"Robust and Optimal Control","{This book provides a comprehensive, step-by-step treatment of the state-space <I>H</I></B></U>&#133;à control theory, reflecting recent theoretical developments this area, in particular, and in the area of robust and <I>H</I></B></U>&#133;  à control theory in general. It offers as self-contained a  presentation as possible and, for reference sake, includes many background  results on linear systems, the theory and application of Riccati equations and model reduction.}"
