doc_id	citeulike_id	type	journal	booktitle	series	publisher	pages	volume	number	year	month	postedat	address	title	abstract
549	241036	article	bioinformatics (oxford, england)	\N	\N	\N	12	18	3	2002	mar	2005-06-30 18:56:20	department of chemistry and biochemistry, university of california, los angeles, los angeles, ca 90095-1570, usa. leec@mbi.ucla.edu	multiple sequence alignment using partial order graphs.	progressive multiple sequence alignment ({msa}) methods depend on reducing an {msa} to a linear profile for each alignment step. however, this leads to loss of information needed for accurate alignment, and gap scoring artifacts. we present a graph representation of an {msa} that can itself be aligned directly by pairwise dynamic programming, eliminating the need to reduce the {msa} to a profile. this enables our algorithm (partial order alignment ({poa})) to guarantee that the optimal alignment of each new sequence versus each sequence in the {msa} will be considered. moreover, this algorithm introduces a new edit operator, homologous recombination, important for multidomain sequences. the algorithm has improved speed (linear time complexity) over existing {msa} algorithms, enabling construction of massive and complex alignments (e.g. an alignment of 5000 sequences in 4 h on a pentium {ii}). we demonstrate the utility of this algorithm on a family of multidomain {sh2} proteins, and on {est} assemblies containing alternative splicing and polymorphism. the partial order alignment program {poa} is available at http://www.bioinformatics.ucla.edu/poa.
550	241086	book	\N	\N	\N	{princeton university press}	\N	\N	\N	2004	nov	2005-06-30 23:54:37	\N	friction : an enthography of global connection	{<p>a wheel turns because of its encounter with the surface of the road; spinning in the air it goes nowhere. rubbing two sticks together produces heat and light; one stick alone is just a stick. in both cases, it is friction that produces movement, action, effect. challenging the widespread view that globalization invariably signifies a "clash" of cultures, anthropologist anna tsing here develops friction in its place as a metaphor for the diverse and conflicting social interactions that make up our contemporary world. </p><p>she focuses on one particular "zone of awkward engagement"--the rainforests of indonesia--where in the 1980s and the 1990s capitalist interests increasingly reshaped the landscape not so much through corporate design as through awkward chains of legal and illegal entrepreneurs that wrested the land from previous claimants, creating resources for distant markets. in response, environmental movements arose to defend the rainforests and the communities of people who live in them. not confined to a village, a province, or a nation, the social drama of the indonesian rainforest includes local and national environmentalists, international science, north american investors, advocates for brazilian rubber tappers, un funding agencies, mountaineers, village elders, and urban students, among others--all combining in unpredictable, messy misunderstandings, but misunderstandings that sometimes work out.</p><p>providing a portfolio of methods to study global interconnections, tsing shows how curious and creative cultural differences are in the grip of worldly encounter, and how much is overlooked in contemporary theories of the global.</p>}
551	241091	article	bmc bioinformatics	\N	\N	\N	\N	6	1	2005	apr	2005-07-01 00:10:01	center for genomics and bioinformatics, karolinska institutet, s-17177 stockholm, sweden. markus.wistrand@cgb.ki.se	improved profile {hmm} performance by assessment of critical algorithmic features in {sam} and {hmmer}.	{background}: profile hidden markov model ({hmm}) techniques are among the most powerful methods for protein homology detection. yet, the critical features for successful modelling are not fully known. in the present work we approached this by using two of the most popular {hmm} packages: {sam} and {hmmer}. the programs' abilities to build models and score sequences were compared on a {scop}/pfam based test set. the comparison was done separately for local and global {hmm} scoring. {results}: using default settings, {sam} was overall more sensitive. {sam}'s model estimation was superior, while {hmmer}'s model scoring was more accurate. critical features for model building were then analysed by comparing the two packages' algorithmic choices and parameters. the weighting between prior probabilities and multiple alignment counts held the primary explanation why {sam}'s model building was superior. our analysis suggests that {hmmer} gives too much weight to the sequence counts. {sam}'s emission prior probabilities were also shown to be more sensitive. the relative sequence weighting schemes are different in the two packages but performed equivalently. {conclusion}: {sam} model estimation was more sensitive, while {hmmer} model scoring was more accurate. by combining the best algorithmic features from both packages the accuracy was substantially improved compared to their default performance.
552	241096	misc	\N	\N	\N	\N	\N	\N	\N	2000	\N	2005-07-01 00:59:12	\N	on clusterings - good, bad and spectral	we motivate and develop a new bicriteria measure for assessing the quality of a clustering which avoids the drawbacks of existing measures. a simple recursive heuristic has poly-logarithmic worst-case guarantees under the new measure. the main result of the paper is the analysis of a popular spectral algorithm. one variant of spectral clustering turns out to have eective worst-case guarantees; another nds a \\good clustering if it exists.   supported in part by nsf grant ccr-9820850.
553	241241	article	annual review of anthropology	\N	\N	\N	18	31	\N	2002	oct	2005-07-01 12:40:13	\N	the anthropology of online communities	information and communication technologies based on the internet have enabled the emergence of new sorts of communities and communicative practicesphenomena worthy of the attention of anthropological researchers. despite early assessments of the revolutionary nature of the internet and the enormous transformations it would bring about, the changes have been less dramatic and more embedded in existing practices and power relations of everyday life. this review explores researchers' questions, approaches, and insights within anthropology and some relevant related fields, and it seeks to identify promising new directions for study. the general conclusion is that the technologies comprising the internet, and all the text and media that exist within it, are in themselves cultural products. anthropology is thus well suited to the further investigation of these new, and not so new, phenomena.
554	241630	article	nature genetics	nat genet	\N	nature publishing group	4	37	7	2005	jun	2006-03-13 07:15:17	\N	identification of hundreds of conserved and nonconserved human {micrornas}	{micrornas} are noncoding {rnas} of 22 nucleotides that suppress translation of target genes by binding to their {mrna} and thus have a central role in gene regulation in health and disease1, 2, 3, 4, 5. to date, 222 human {micrornas} have been identified6, 86 by random cloning and sequencing, 43 by computational approaches and the rest as putative {micrornas} homologous to {micrornas} in other species. to prove our hypothesis that the total number of {micrornas} may be much larger and that several have emerged only in primates, we developed an integrative approach combining bioinformatic predictions with microarray analysis and sequence-directed cloning. here we report the use of this approach to clone and sequence 89 new human {micrornas} (nearly doubling the current number of sequenced human {micrornas}), 53 of which are not conserved beyond primates. these findings suggest that the total number of human {micrornas} is at least 800.
555	241724	article	nat rev genet	\N	\N	nature publishing group	10	6	7	2005	jul	2005-08-27 08:00:50	\N	synthetic biology	synthetic biologists come in two broad classes. one uses unnatural molecules to reproduce emergent behaviours from natural biology, with the goal of creating artificial life. the other seeks interchangeable parts from natural biology to assemble into systems that function unnaturally. either way, a synthetic goal forces scientists to cross uncharted ground to encounter and solve problems that are not easily encountered through analysis. this drives the emergence of new paradigms in ways that analysis cannot easily do. synthetic biology has generated diagnostic tools that improve the care of patients with infectious diseases, as well as devices that oscillate, creep and play tic-tac-toe.
556	241904	book	\N	\N	\N	broadway	\N	\N	\N	2001	apr	2005-07-02 22:54:35	\N	irrational exuberance	{cnbc, day trading, the motley fool, silicon investor--not since the 1920s has there been such an intense fascination with the u.s. stock market. for an increasing number of americans, logging on to yahoo! finance is a habit more precious than that morning cup of joe (as thousands of sbux and yhoo shareholders know too well). yet while the market continues to go higher, many of us can't get alan greenspan's famous line out of our heads. in <i>irrational exuberance</i>, yale economics professor robert j. shiller examines this public fascination with stocks and sees a combination of factors that have driven stocks higher, including the rise of the internet, 401(k) plans, increased coverage by the popular media of financial news, overly optimistic cheerleading by analysts and other pundits, the decline of inflation, and the rise of the mutual fund industry. he writes: "perceived long-term risk is down.... emotions and heightened attention to the market create a desire to get into the game. such is irrational exuberance today in the united states."<p> by history's yardstick, shiller believes this market is grossly overvalued, and the factors that have conspired to create and amplify this event--the baby-boom effect, the public infatuation with the internet, and media interest--will most certainly abate. he fears that too many individuals and institutions have come to view stocks as their only investment vehicle, and that investors should consider looking beyond stocks as a way to diversify and hedge against the inevitable downturn. this is a serious and well-researched book that should read like a stephen king novel to anyone who has staked his or her future on the market's continued success. --<i>harry c. edwards</i> } {with a new afterword on the current state of the stock market, the ongoing debate over the \\&\\#8220;new economy,\\&\\#8221; and the larger implications of \\&\\#8220;irrational exuberance.\\&\\#8221;<br><br>in this controversial, hard-hitting account of today\\&\\#8217;s explosive market, robert j. shiller, a leading expert on market volatility, evokes alan greenspan\\&\\#8217;s infamous 1996 reference, \\&\\#8220;irrational exuberance,\\&\\#8221; to explain the alternately soaring and declining stock market.  shiller\\&\\#8217;s unconventional yet persuasive argument credits an unprecedented confluence of events with driving stocks to uncharted heights, and he analyzes the structural, cultural, and psychological factors behind these levels of growth not reflected in any other sector of the economy.  now more relevant than ever, this analysis is both chilling and convincing\\&\\#8212;a must-read for the individual investor, the policy maker, and the investment professional.} {in this bold and potentially urgent volume, robert j. shiller, a respected expert on market volatility, offers an unconventional interpretation of recent u.s. stock market highs and shows that alan greenspan's term "irrational exuberance" is a good description of the mood behind the market. he warns that poorer performance may be in the offing and tells us how we--as a country and individually--can respond.<p>shiller credits an unprecedented confluence of events with driving stocks to uncharted heights. he analyzes the structural and psychological factors that explain why the dow jones industrial average tripled between 1994 and 1999, a level of growth not reflected in any other sector of the economy. in contrast to many analysts, shiller stresses circumstances that alter investors' perceptions of the market.}
557	244746	article	plos computational biology	\N	\N	\N	7	1	1	2005	jun	2005-07-04 16:32:47	\N	predicting functional gene links from {phylogenetic-statistical} analyses of whole genomes	an important element of the developing field of proteomics is to understand protein-protein interactions and other functional links amongst genes. across-species correlation methods for detecting functional links work on the premise that functionally linked proteins will tend to show a common pattern of presence and absence across a range of genomes. we describe a maximum likelihood statistical model for predicting functional gene linkages. the method detects independent instances of the correlated gain or loss of pairs of proteins on phylogenetic trees, reducing the high rates of false positives observed in conventional across-species methods that do not explicitly incorporate a phylogeny. we show, in a dataset of 10,551 protein pairs, that the phylogenetic method improves by up to 35\\% on across-species analyses at identifying known functionally linked proteins. the method shows that protein pairs with at least two to three correlated events of gain or loss are almost certainly functionally linked. contingent evolution, in which one gene's presence or absence depends upon the presence of another, can also be detected phylogenetically, and may identify genes whose functional significance depends upon its interaction with other genes. incorporating phylogenetic information improves the prediction of functional linkages. the improvement derives from having a lower rate of false positives and from detecting trends that across-species analyses miss. phylogenetic methods can easily be incorporated into the screening of large-scale bioinformatics datasets to identify sets of protein links and to characterise gene networks.
558	244765	inproceedings	\N	siggraph 2001, computer graphics proceedings	\N	acm press / acm siggraph	5	\N	\N	2001	\N	2005-07-04 17:03:01	\N	image quilting for texture synthesis and transfer	we present a simple image-based method of generating novel visual appearance in which a new image is synthesized by stitching together small patches of existing images. we call this process  image quilting . first, we use quilting as a fast and very simple texture synthesis algorithm which produces surprisingly good results for a wide range of textures. second, we extend the algorithm to perform texture transfer &mdash; rendering an object with a texture taken from a different object. more generally, we demonstrate how an image can be re-rendered in the style of a different image. the method works directly on the images and does not require 3d information.
559	245758	article	notices of the american mathematical society	\N	\N	\N	7	50	5	2003	\N	2005-07-05 02:22:06	\N	the mathematics of learning: dealing with data	in statistical learning for regression problems, data is assumed to be an i.i.d. sample drawn from an unknown and arbitrary probability distribution $p$ over $\\bbb{r}^d\\times\\bbb{r}$.  given such a sample, the goal of the learner is to choose a low-risk function $h\\colon \\bbb{r}^d\\to\\bbb{r}$ from a fixed hypothesis space $\\scr{h}$, that is, a function $h\\in\\scr{h}$ such that the expected value of $ l(h(x),y)$, where $ l$ is a fixed real-valued loss function and the pair $(x,y)\\in\\bbb{r}^d\\times\\bbb{r}$ is drawn from $p$, is as close as possible to its minimum value in $\\scr{h}$. <p> in this paper, the authors provide an excellent survey of some recent results concerning the statistical performance of regularized learning algorithms.  in particular, the authors describe the regularized least-squares regressor with gaussian kernels.  the hypothesis space associated to this algorithm is the family of hyperplanes in the reproducing kernel hilbert space generated by the gaussian kernel with a given variance parameter. this parameter plays a crucial role in balancing the approximation error term (the $l_2$ distance to the bayes optimal regressor) and the risk term---recall that the sum of these two terms equals the expected square loss of the regressor. the analysis of the risk and the approximation error, reported in the paper, captures this tradeoff, opening the way to a principled choice of the kernel parameter. <p> the regularized learning algorithm can be naturally applied to problems other than regression. in particular, the authors show an application to classification problems describing the regularized least-squares algorithm, whose empirical performance is compared to that of support vector machines.
560	246028	article	bioinformatics	\N	\N	oxford university press	6	21	14	2005	jul	2008-04-17 13:50:47	\N	a bayesian regression approach to the inference of regulatory networks from gene expression data	motivation: there is currently much interest in reverse-engineering regulatory relationships between genes from microarray expression data. we propose a new algorithmic method for inferring such interactions between genes using data from gene knockout experiments. the algorithm we use is the sparse bayesian regression algorithm of tipping and faul. this method is highly suited to this problem as it does not require the data to be discretized, overcomes the need for an explicit topology search and, most importantly, requires no heuristic thresholding of the discovered connections.  results: using simulated expression data, we are able to show that this algorithm outperforms a recently published correlation-based approach. crucially, it does this without the need to set any ad hoc threshold on possible connections.  availability: matlab code which allows all experimental results to be reproduced is available at http://www.dcs.gla.ac.uk/\\~{}srogers/reg\\_nets.html  contact: srogers@dcs.gla.ac.uk  supplementary information: appendices and supplementary figures mentioned in the text can be found at http://www.dcs.gla.ac.uk/\\~{}srogers/reg\\_nets.html 10.1093/bioinformatics/bti487
561	248185	article	robotics and autonomous systems	\N	\N	\N	12	6	1\\&2	1990	jun	2005-07-06 23:24:01	\N	elephants don't play chess	this paper we argue that the symbol system hypothesis upon which classical {ai} is base is fundamentally flawed, and as such imposes severe limitations on the fitness of its progeny. further, we argue that the dogma of the symbol system hypothesis implicitly includes a number of largely unfounded great leaps of faith when called upon to provide a plausible path to the digital equivalent of human level intelligence. it is the chasms to be crossed by these leaps which now impede classical {ai}...
562	248994	article	language learning \\& technology	\N	\N	\N	4	7	2	2003	may	2005-07-07 19:04:47	\N	blogs and wikis: environments for on-line collaboration	language professionals have embraced the world of collaborative opportunities the internet hasintroduced. many tools -- e-mail, discussion forums, chat -- are by now familiar to many languageteachers. recent innovations -- blogs, wikis, and rss feeds -- may be less familiar but offer powerfulopportunities for online collaboration for both language professionals and learners. the underlyingtechnology of the new tools is xml ("extensible markup language") which separates content fromformatting, encourages use of meta-data, and enables machine processing of internet documents. thelatter is key in the ability to link automatically disparate documents of interest to individuals or groups.the new collaborative opportunities this enables have led some to consider the growing importance ofxml as the signal of the arrival of the second-generation web. (first paragraph)
563	249006	article	genome research	\N	\N	cold spring harbor laboratory press	11	13	9	2003	sep	2005-07-07 21:10:52	department of biology and genetics, center for bioinformatics, and genomics institute, university of pennsylvania, philadelphia, pennsylvania 19104, usa.	{orthomcl}: identification of ortholog groups for eukaryotic genomes	an international, peer-reviewed genome sciences journal featuring outstanding original research that offers novel insights into the biology of all organisms
564	249102	article	\N	\N	\N	\N	\N	\N	\N	-1	\N	2005-07-08 03:07:50	\N	inference in belief networks: a procedural guide	belief networks are popular tools for encoding uncertainty in expert systems. these networks rely on inference algorithms to compute beliefs in the context of observed evidence. one established method for exact inference on belief networks is the probability propagation in trees of clusters (pptc) algorithm, as developed by lauritzen and spiegelhalter and refined by jensen et al. pptc converts the belief network into a secondary structure, then computes probabilities by manipulating the secondary structure. in this document, we provide a self-contained, procedural guide to understanding and implementing pptc. we synthesize various optimizations to pptc that are scattered throughout the literature. we articulate undocumented, "open secrets" that are vital to that are vital to producing a robust and efficient implementation of pptc. we hope that this document makes probabilistic inference more accessible and affordable to those without extensive prior exposure.
565	251558	article	prog biophys mol biol	\N	\N	\N	35	86	1	2004	sep	2005-07-11 14:20:02	centre for mathematical biology, mathematical institute, 24-29 st. giles', oxford ox 1 3lb, uk. e.crampin@auckland.ac.nz	mathematical and computational techniques to deduce complex biochemical reaction mechanisms.	time series data can now be routinely collected for biochemical reaction pathways, and recently, several methods have been proposed to infer reaction mechanisms for metabolic pathways and networks. in this paper we provide a survey of mathematical techniques for determining reaction mechanisms for time series data on the concentration or abundance of different reacting components, with little prior information about the pathways involved.
566	252074	inbook	\N	human-computer interaction - interact	\N	ios	7	\N	\N	2001	\N	2005-07-12 12:41:42	amsterdam	augmenting museums and art galleries	this paper is concerned with the application of context-aware computing to museums and art galleries. the paper reports three studies addressing this issue. the first study involved a survey of visitors to an art gallery and focused on visitor activity and information requirements. this led to the conclusion that one could define visitor types and relate these to the amount, and level of detail, of information for the visitor types. the second study involves a comparative evaluation of...
567	254471	article	journal of computational physics	\N	\N	\N	8	118	\N	1995	\N	2005-07-13 16:34:53	\N	a fast level set method for propagating interfaces	a method is introduced to decrease the computational labor of the standard level set method for propagating interfaces. the fast approach uses only points close to the curve at every time step. we describe this new algorithm and compare its efficiency and accuracy with the standard level set approach. 1 a fast level set implementation the level set technique was introduced in [9] to track moving interfaces in a wide variety of problems. it relies on the relation between propagating interfaces...
568	254902	book	\N	\N	\N	brooks/cole	\N	\N	\N	1999	\N	2005-07-13 16:35:57	\N	image processing, analysis, and machine vision	{this robust text provides deep and wide coverage of the full range of topics encountered in the field of image processing and machine vision.  as a result, it can serve undergraduates, graduates, researchers, and professionals looking for a readable reference. the book's encyclopedic coverage of topics is wider than that found in any competing book, and it can be used in more than one course (both image processing and machine vision classes).  in addition, while advanced mathematics is not needed to understand basic concepts (making this a good choice for undergraduates), rigorous mathematical coverage is included for more advanced readers. this text is especially strong and up-to-date in its treatment of 3d vision, with many topics not covered at all in competing books. it is also distinguished by its easy-to-understand algorithm descriptions of difficult concepts, and a wealth of carefully selected problems and examples that can be worked with any general-purpose image processing software package or programming environment.}
569	255314	book	\N	\N	\N	oxford university press, usa	\N	\N	\N	2004	may	2005-07-13 21:38:25	\N	foundations of human sociality: economic experiments and ethnographic evidence from fifteen {small-scale} societies	what motives underlie the ways humans interact socially? are these the same for all societies? are these part of our nature, or influenced by our environments? over the last decade, research in experimental economics has emphatically falsified the textbook representation of homo economicus. hundreds of experiments suggest that people care not only about their own material payoffs, but also about such things as fairness, equity, and reciprocity. however, this research left fundamental questions unanswered: are such social preferences stable components of human nature, or are they modulated by economic, social, and cultural environments? until now, experimental research could not address this question because virtually all subjects had been university students. combining ethnographic and experimental approaches to fill this gap, this book breaks new ground in reporting the results of a large cross-cultural study aimed at determining the sources of social (non-selfish) preferences that underlie the diversity of human sociality. in this study, the same experiments carried out with university students were performed in fifteen small-scale societies exhibiting a wide variety of social, economic, and cultural conditions. the results show that the variation in behaviour is far greater than previously thought, and that the differences between societies in market integration and the importance of cooperation explain a substantial portion of this variation, which individual-level economic and demographic variables could not. the results also trace the extent to which experimental play mirrors patterns of interaction found in everyday life. the book includes a succinct but substantive introduction to the use of game theory as an analytical tool, and to its use in the social sciences for the rigorous testing of hypotheses about fundamental aspects of social behaviour outside artificially constructed laboratories. the editors also summarize the results of the fifteen case studies in a suggestive chapter about the scope of the project.
570	255551	article	international journal of computer vision	international journal of computer vision	\N	kluwer academic publishers	22	40	2	2000	nov	2005-07-14 05:03:42	hingham, ma, usa	the earth mover's distance as a metric for image retrieval	we investigate the properties of a metric between two distributions, the earth mover's distance ({emd}), for content-based image retrieval. the {emd} is based on the minimal cost that must be paid to transform one distribution into the other, in a precise sense, and was first proposed for certain vision problems by peleg, werman, and rom. for image retrieval, we combine this idea with a representation scheme for distributions that is based on vector quantization. this combination leads to an image comparison framework that often accounts for perceptual similarity better than other previously proposed methods. the {emd} is based on a solution to the transportation problem from linear optimization, for which efficient algorithms are available, and also allows naturally for partial matching. it is more robust than histogram matching techniques, in that it can operate on variable-length representations of the distributions that avoid quantization and other binning problems typical of histograms. when used to compare distributions with the same overall mass, the {emd} is a true metric. in this paper we focus on applications to color and texture, and we compare the retrieval performance of the {emd} with that of other distances.
571	256404	article	communications of the acm	\N	\N	\N	7	21	7	1978	jul	2005-07-15 05:33:05	\N	time, clocks, and the ordering of events in a distributed system	the concept of one event happening before another in a distributed system is examined, and is shown to define a partial ordering of the events. a distributed algorithm is given for synchronizing a system of logical clocks which can be used to totally order the events. the use of the total ordering is illustrated with a method for solving synchorization problems. the algorithm is then specialized for synchronizing physical clocks, and a bound is derived on how far out of synchrony the clocks can become.
572	256918	article	annual reviews in immunology	\N	\N	\N	19	20	\N	2002	\N	2005-07-15 13:44:28	\N	innate immune recognition	‚ñ™ abstract‚ÄÇ the innate immune system is a universal and ancient form of host defense against infection. innate immune recognition relies on a limited number of germline-encoded receptors. these receptors evolved to recognize conserved products of microbial metabolism produced by microbial pathogens, but not by the host. recognition of these molecular structures allows the immune system to distinguish infectious nonself from noninfectious self. toll-like receptors play a major role in pathogen recognition and initiation of inflammatory and immune responses. stimulation of toll-like receptors by microbial products leads to the activation of signaling pathways that result in the induction of antimicrobial genes and inflammatory cytokines. in addition, stimulation of toll-like receptors triggers dendritic cell maturation and results in the induction of costimulatory molecules and increased antigen-presenting capacity. thus, microbial recognition by toll-like receptors helps to direct adaptive immune responses to antigens derived from microbial pathogens.
573	257982	book	\N	\N	\N	verso	\N	\N	\N	1991	jul	2005-07-16 21:27:39	\N	imagined communities: reflections on the origin and spread of nationalism	{what makes people love and die for nations, as well as hate and kill in their name? in this important work, benedict anderson focuses a much-needed clear eye on nationalism as cultural artefact, created and transformed through historical processes--a fated and thus pure attachment experienced every day through the connections language forges with a living and dead community.<p>in selecting the genealogy of "thinking" the nation, anderson chooses his trajectory well--thankfully reading not only from the social history of europe, but also from the experiences of its colonies and other states across the globe (the armed conflicts of 1978--79 indochina provided the immediate impetus for the original 1983 text). it is especially these states which anderson's later revisions address, with his wise realisation that so-called "official nationalism" in colonised asia and africa was not transplanted without intervention from that of the dynastic states of 19th-century europe. when dealing with such an emotive subject, anderson thankfully avoids favouring rhetoric over grounded analysis. he thoroughly explains the role of print language in imagining community, particularly with the development of the novel set in a society to which the reader may or may not belong, but can recognise, and the newspaper, which, perhaps replacing morning prayers, is read every day by people who have a sense of their fellow readers' existence.<p> the power of <i>imagined communities</i> ultimately lies in its applied resonances. the force of the argument of an "imagined community" is not only invaluable to sociologists or political economists, but it implicates each of us in compelling notions of identity and belonging whether our imagined community is with a nation or with others who buy, listen to and watch the same cultural products as ourselves. essential reading for anyone interested in a history of the present. --<i>fiona buckland</i>}
574	258855	inproceedings	\N	cikm	\N	acm press	7	\N	\N	2004	\N	2005-07-18 17:01:06	new york, ny, usa	swoogle: a search and metadata engine for the semantic web	swoogle is a crawler-based indexing and retrieval system for the semantic web. it extracts metadata for each discovered document, and computes relations between documents. discovered documents are also indexed by an information retrieval system which can use either character n-gram or urirefs as keywords to find relevant documents and to compute the similarity among a set of documents. one of the interesting properties we compute is <i>ontology rank</i>, a measure of the importance of a semantic web document.
575	259020	article	bioinformatics (oxford, england)	\N	\N	oxford university press	1	21	15	2005	aug	2007-04-23 22:23:40	\N	{provat}: a tool for {v}oronoi tessellation analysis of protein structures and complexes	10.1093/bioinformatics/bti523 summary: voronoi tessellation has proved to be a useful tool in protein structure analysis. we have developed provat, a versatile public domain software that enables computation and visualization of voronoi tessellations of proteins and protein complexes. it is a set of python scripts that integrate freely available specialized software (qhull, pymol etc.) into a pipeline. the calculation component of the tool computes voronoi tessellation of a given protein system in a way described by a user-supplied xml recipe and stores resulting neighbourhood information as text files with various styles. the python pickle file generated in the process is used by the visualization component, a pymol plug-in, that offers a gui to explore the tessellation visually.availability: provat source code can be downloaded from http://raven.bioc.cam.ac.uk/~swanand/provat1, which also provides a webserver for its calculation component, documentation and examples.contact: swanand@cryst.bioc.cam.ac.uk
576	259037	article	bioinformatics	\N	\N	oxford university press	11	21	15	2005	aug	2007-12-05 16:54:12	\N	computational cluster validation in post-genomic data analysis	motivation the discovery of novel biological knowledge from the ab initio analysis of post-genomic data relies upon the use of unsupervised processing methods, in particular clustering techniques. much recent research in bioinformatics has therefore been focused on the transfer of clustering methods introduced in other scientific fields and on the development of novel algorithms specifically designed to tackle the challenges posed by post-genomic data. the partitions returned by a clustering algorithm are commonly validated using visual inspection and concordance with prior biological knowledgeówhether the clusters actually correspond to the real structure in the data is somewhat less frequently considered. suitable computational cluster validation techniques are available in the general data-mining literature, but have been given only a fraction of the same attention in {bioinformatics.results} this review paper aims to familiarize the reader with the battery of techniques available for the validation of clustering results, with a particular focus on their application to post-genomic data analysis. synthetic and real biological datasets are used to demonstrate the benefits, and also some of the perils, of analytical cluster {validation.availability}: the software used in the experiments is available at {http://dbkgroup.org/handl/clustervalidation/contact} {j.handl}@{postgrad.manchester.ac.uksupplementary} information: enlarged colour plots are provided in the supplementary material, which is available at http://dbkgroup.org/handl/clustervalidation/
577	260118	article	acm trans. inf. syst.	\N	\N	acm	39	22	3	2004	jul	2005-07-20 20:51:12	new york, ny, usa	{pocketlens}: toward a personal recommender system	recommender systems using collaborative filtering are a popular technique for reducing information overload and finding products to purchase. one limitation of current recommenders is that they are not portable. they can only run on large computers connected to the internet. a second limitation is that they require the user to trust the owner of the recommender with personal preference data. personal recommenders hold the promise of delivering high quality recommendations on palmtop computers, even when disconnected from the internet. further, they can protect the user's privacy by storing personal information locally, or by sharing it in encrypted form. in this article we present the new {pocketlens} collaborative filtering algorithm along with five peer-to-peer architectures for finding neighbors. we evaluate the architectures and algorithms in a series of offline experiments. these experiments show that pocketlens can run on connected servers, on usually connected workstations, or on occasionally connected portable devices, and produce recommendations that are as good as the best published algorithms to date.
578	260693	article	acm transactions on programming languages and systems	\N	\N	\N	32	7	1	1985	\N	2005-07-21 08:08:48	\N	generative communication in {l}inda	generative communication is the basis of a new distributed programming langauge that is intended for systems programming in distributed settings generally and on integrated network computers in particular. it differs from previous interprocess communication models in specifying that messages be added in tuple-structured form to the computation environment, where they exist as named, independent entities until some process chooses to receive them. generative communication results in a number of distinguishing properties in the new language, linda, that is built around it. linda is fully distributed in space and distributed in time; it allows distributed sharing, continuation passing, and structured naming. we discuss these properties and their implications, then give a series of examples. linda presents novel implementation problems that we discuss in part ii. we are particularly concerned with implementation of the dynamic global name space that the generative communication model requires.
579	260715	inproceedings	\N	{sosp}	\N	\N	\N	\N	\N	2001	oct	2005-07-21 08:08:48	chateau lake louise, banff, canada	wide-area cooperative storage with {cfs}	the cooperative file system (cfs) is a new peer-to-peer readonly storage system that provides provable guarantees for the efficiency, robustness, and load-balance of file storage and retrieval. cfs does this with a completely decentralized architecture that can scale to large systems. cfs servers provide a distributed hash table (dhash) for block storage. cfs clients interpret dhash blocks as a file system. dhash distributes and caches blocks at a fine granularity to achieve load balance, uses replication for robustness, and decreases latency with server selection. dhash finds blocks using the chord location protocol, which operates in time logarithmic in the number of servers.  cfs is implemented using the sfs file system toolkit and runs on linux, openbsd, and freebsd. experience on a globally deployed prototype shows that cfs delivers data to clients as fast as ftp. controlled tests show that cfs is scalable: with 4,096 servers, looking up a block of data involves contacting only seven servers. the tests also demonstrate nearly perfect robustness and unimpaired performance even when as many as half the servers fail.  1.
580	260716	inproceedings	\N	5th symposium on operating systems design and implementation	\N	\N	\N	\N	\N	2002	dec	2005-07-21 08:08:48	\N	{farsite}: federated, available, and reliable storage for an incompletely trusted environment	farsite is a serverless, distributed file system that does not assume mutual trust among the client computers on which it runs. logically, the system functions as a central file server, but physically, there is no central server machine. instead, a group of desktop client computers collaboratively establish a virtual file server that can be accessed by any of the clients. the system provides a global name space for files, location-transparent access to both private files and shared public files, and improved reliability relative to storing files on a desktop workstation. it does this by distributing multiple encrypted replicas of each file among a set of client machines. files are referenced through a hierarchical directory structure that is maintained by a distributed directory service. our broad objective is to figure out how to build highly available, reliable, and secure systems on a substrate of cooperating but mutually distrusting hosts. in the context of our distributed file system, we have identified three specific goals: * to provide high availability and reliability for file storage. * to provide security and resistance to byzantine threats. * to have the system automatically configure and tune itself adaptively.
581	260912	inproceedings	\N	seventh annual international conference on mobile computing and networks (mobicom)	\N	\N	10	\N	\N	2001	\N	2005-07-21 08:08:53	\N	{spins}: security protocols for sensor networks	as sensor networks edge closer towards wide-spread deployment, security issues become a central concern. so far, much research has focused on making sensor networks feasible and useful, and has not concentrated on security. we present a suite of security building blocks optimized for resource-constrained environments and wireless communication. spins has two secure building blocks: snep and mtesla. snep provides the following important baseline security primitives: data confidentiality, two-party data authentication, and data freshness. a particularly hard problem is to provide efficient broadcast authentication, which is an important mechanism for sensor networks. mtesla is a new protocol which provides authenticated broadcast for severely resource-constrained environments. we implemented the above protocols, and show that they are practical even on minimal hardware: the performance of the protocol suite easily matches the data rate of our network.additionally, we demonstrate that the suite can be used for building higher level protocols.
